Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)"
1,1001,P3.Dune,Dune,5/9/2005,BERNA,Hand-Collecting,36.9974,-7.9781,0.8,99,0.2,1.023,0.62,-0.033,0.993,1.247,
2,1002,P3.Upper Beach,Upper Beach,5/9/2005,BERNA,Hand-Collecting,36.9983,-7.9771,1.4,98.4,0.2,1.184,0.555,-0.002,1.094,1.247,
3,1003,P3.Beach Face,Beach face,5/9/2005,BERNA,Hand-Collecting,36.9978,-7.9777,3.2,96.6,0.3,0.527,0.85,0.085,1.244,0.247,
4,1004,P3.Tidal Flat,Tidal flat,5/9/2005,BERNA,Hand-Collecting,36.9979,-7.9776,0.5,97.3,2.3,1.42,0.948,0.157,1.124,1.247,
5,1005,P3.Sand.Spit,Sand spit,5/9/2005,BERNA,Hand-Collecting,36.9983,-7.9772,1.14,98,0.6,1.145,0.831,-0.063,1.055,1.247,
6,1286,P3.Dune,Dune,4/13/2006,BERNA,Hand-Collecting,36.9974,-7.9781,1.3,98.6,0.2,1.212,0.594,0.019,1.112,1.247,
7,1287,P3.Upper Beach,Upper Beach,4/13/2006,BERNA,Hand-Collecting,36.9983,-7.9771,3,96.8,0.1,0.725,0.751,-0.089,1.121,0.747,
8,1288,P3.Beach Face,Beach face,4/13/2006,BERNA,Hand-Collecting,36.9978,-7.9777,2.2,97.6,0.2,0.736,0.703,-0.038,1.17,0.747,
9,1289,P3.Tidal Flat,Tidal flat,4/13/2006,BERNA,Hand-Collecting,36.9979,-7.9776,0.8,91.8,7.4,1.447,1.384,0.411,1.688,0.747,
10,1290,P3.Sand.Spit,Sand spit,4/13/2006,BERNA,Hand-Collecting,36.9983,-7.9772,1.5,91.1,7.3,1.502,1.373,0.345,1.587,1.247,
11,1468,P3.Dune,Dune,4/3/2007,BERNA,Hand-Collecting,36.9974,-7.9781,0.3,99.4,0.3,1.234,0.566,0.031,1.073,1.247,
12,1469,P3.Upper Beach,Upper Beach,4/3/2007,BERNA,Hand-Collecting,36.9983,-7.9771,4.8,94.9,0.3,0.856,0.795,-0.208,1.36,0.747,
13,1470,P3.Beach Face,Beach face,4/3/2007,BERNA,Hand-Collecting,36.9978,-7.9777,4.8,94.8,0.5,0.651,1.047,0.087,0.987,0.247,
14,1471,P3.Tidal Flat,Tidal flat,4/3/2007,BERNA,Hand-Collecting,36.9979,-7.9776,2.2,93.8,4,1.314,1.139,0.206,1.212,0.747,2.737
15,1472,P3.Sand.Spit,Sand spit,4/3/2007,BERNA,Hand-Collecting,36.9983,-7.9772,2.2,93.8,3.9,1.305,1.049,0.13,1.297,1.247,
16,1697,P3.Dune,Dune,3/20/2008,BERNA,Hand-Collecting,36.9974,-7.9781,1.3,98.4,0.3,1.161,0.65,-0.046,1.147,1.247,
17,1698,P3.Upper Beach,Upper Beach,3/20/2008,BERNA,Hand-Collecting,36.9983,-7.9771,0.1,99.5,0.4,1.224,0.506,0.061,0.978,1.247,
18,1699,P3.Beach Face,Beach face,3/20/2008,BERNA,Hand-Collecting,36.9978,-7.9777,3.3,96.4,0.3,0.494,0.661,-0.152,1.197,0.747,
19,1700,P3.Tidal Flat,Tidal flat,3/20/2008,BERNA,Hand-Collecting,36.9979,-7.9776,10.5,88,1.5,-0.124,0.898,0.045,1.745,-0.243,
20,1701,P3.Sand.Spit,Sand spit,3/20/2008,BERNA,Hand-Collecting,36.9983,-7.9772,0.9,97.9,1.2,1.091,0.774,-0.089,1.121,1.247,
